Line#,Date,"Solar Radiation (S-LIB 21661173:21515235-1), W/m^2, ideaslab","Temperature (S-THC 21661173:21555952-1), *C, ideaslab","RH (S-THC 21661173:21555952-2), %, ideaslab","Dew Point (S-THC 21661173:21555952-3), *C, ideaslab","Wind Speed (S-WCG 21661173:21556122-1), m/s, ideaslab","Gust Speed (S-WCG 21661173:21556122-2), m/s, ideaslab","Wind Direction (S-WCG 21661173:21556122-3), *, ideaslab","Rain (S-RGB 21661173:21560962-1), mm, ideaslab","Solar Radiation (S-LIB 21535782:21515235-1), W/m^2, ideaslab(Aug23)","Temperature (S-THC 21535782:21555952-1), *C, ideaslab(Aug23)","RH (S-THC 21535782:21555952-2), %, ideaslab(Aug23)","Dew Point (S-THC 21535782:21555952-3), *C, ideaslab(Aug23)","Wind Speed (S-WCG 21535782:21556122-1), m/s, ideaslab(Aug23)","Gust Speed (S-WCG 21535782:21556122-2), m/s, ideaslab(Aug23)","Wind Direction (S-WCG 21535782:21556122-3), *, ideaslab(Aug23)","Rain (S-RGB 21535782:21560962-1), mm, ideaslab(Aug23)","Temperature (S-THC 21535782:21654097-1), *C, ideaslab(test)","RH (S-THC 21535782:21654097-2), %, ideaslab(test)","Dew Point (S-THC 21535782:21654097-3), *C, ideaslab(test)","Dew Point (S-THC 21661173:21397574-3), *C, ideaslab","Temperature (S-THC 21661173:21397574-1), *C, ideaslab","RH (S-THC 21661173:21397574-2), %, ideaslab"
1,07/10/23 08:35:00,474,31.177,63.210,23.377,1.3,3.0,187,0.0,,,,,,,,,,,,,,
2,07/10/23 08:40:00,456,31.328,62.113,23.228,1.0,2.7,176,0.0,,,,,,,,,,,,,,
3,07/10/23 08:45:00,443,31.842,61.947,23.668,1.0,1.7,184,0.0,,,,,,,,,,,,,,
4,07/10/23 08:50:00,433,31.671,62.524,23.661,1.0,2.3,173,0.0,,,,,,,,,,,,,,
5,07/10/23 08:55:00,421,31.971,61.883,23.772,0.7,2.7,225,0.0,,,,,,,,,,,,,,
6,07/10/23 09:00:00,408,32.357,60.941,23.880,0.7,1.3,208,0.0,,,,,,,,,,,,,,
7,07/10/23 09:05:00,396,32.057,61.952,23.871,1.0,2.3,208,0.0,,,,,,,,,,,,,,
8,07/10/23 09:10:00,376,31.306,63.821,23.658,1.3,3.0,203,0.0,,,,,,,,,,,,,,
9,07/10/23 09:15:00,359,30.963,65.940,23.877,1.3,3.0,217,0.0,,,,,,,,,,,,,,
10,07/10/23 09:20:00,348,31.542,63.935,23.911,1.0,2.0,201,0.0,,,,,,,,,,,,,,
11,07/10/23 09:25:00,334,31.263,64.208,23.719,1.0,3.0,244,0.0,,,,,,,,,,,,,,
12,07/10/23 09:30:00,319,31.070,65.248,23.803,1.0,3.0,225,0.0,,,,,,,,,,,,,,
13,07/10/23 09:35:00,311,31.113,64.707,23.705,1.3,2.7,224,0.0,,,,,,,,,,,,,,
14,07/10/23 09:40:00,288,31.392,64.581,23.937,1.0,2.3,200,0.0,,,,,,,,,,,,,,
15,07/10/23 09:45:00,263,31.220,65.061,23.898,1.3,2.7,175,0.0,,,,,,,,,,,,,,
16,07/10/23 09:50:00,244,30.899,66.658,23.997,1.7,3.0,176,0.0,,,,,,,,,,,,,,
17,07/10/23 09:55:00,229,30.942,66.586,24.020,1.3,3.3,206,0.0,,,,,,,,,,,,,,
18,07/10/23 10:00:00,209,31.006,66.091,23.956,1.3,3.0,186,0.0,,,,,,,,,,,,,,
19,07/10/23 10:05:00,191,30.663,67.034,23.866,1.3,3.0,200,0.0,,,,,,,,,,,,,,
20,07/10/23 10:10:00,148,30.577,66.737,23.711,1.3,2.7,197,0.0,,,,,,,,,,,,,,
21,07/10/23 10:15:00,53,30.105,68.078,23.593,1.3,2.7,210,0.0,,,,,,,,,,,,,,
22,07/10/23 10:20:00,44,29.848,68.811,23.525,1.3,2.7,199,0.0,,,,,,,,,,,,,,
23,07/10/23 10:25:00,46,29.783,69.397,23.605,1.0,2.3,196,0.0,,,,,,,,,,,,,,
24,07/10/23 10:30:00,69,29.869,69.232,23.647,1.0,2.3,190,0.0,,,,,,,,,,,,,,
25,07/10/23 10:35:00,44,29.955,69.116,23.701,0.7,1.7,184,0.0,,,,,,,,,,,,,,
26,07/10/23 10:40:00,68,29.998,69.551,23.847,0.7,1.7,201,0.0,,,,,,,,,,,,,,
27,07/10/23 10:45:00,53,29.740,70.120,23.736,1.3,3.0,227,0.0,,,,,,,,,,,,,,
28,07/10/23 10:50:00,31,29.440,70.837,23.618,1.7,3.0,210,0.0,,,,,,,,,,,,,,
29,07/10/23 10:55:00,17,29.226,71.608,23.592,1.7,3.0,213,0.0,,,,,,,,,,,,,,
30,07/10/23 11:00:00,13,29.118,72.093,23.602,1.3,3.0,206,0.0,,,,,,,,,,,,,,
31,07/10/23 11:05:00,9,29.011,72.235,23.531,2.0,3.3,220,0.0,,,,,,,,,,,,,,
32,07/10/23 11:10:00,7,29.011,72.683,23.634,1.0,2.3,203,0.0,,,,,,,,,,,,,,
33,07/10/23 11:15:00,4,28.968,72.779,23.615,1.0,2.0,211,0.0,,,,,,,,,,,,,,
34,07/10/23 11:20:00,3,28.840,73.004,23.543,1.3,3.0,221,0.0,,,,,,,,,,,,,,
35,07/10/23 11:25:00,1,28.711,72.766,23.365,1.7,3.3,217,0.0,,,,,,,,,,,,,,
36,07/10/23 11:30:00,1,28.604,73.858,23.509,1.7,3.0,213,0.0,,,,,,,,,,,,,,
37,07/10/23 11:35:00,1,28.604,74.478,23.648,1.7,3.0,215,0.0,,,,,,,,,,,,,,
38,07/10/23 11:40:00,1,28.518,74.995,23.680,1.3,3.0,211,0.0,,,,,,,,,,,,,,
39,07/10/23 11:45:00,1,28.454,75.196,23.663,1.3,3.0,218,0.0,,,,,,,,,,,,,,
40,07/10/23 11:50:00,1,28.411,75.636,23.718,1.3,2.3,206,0.0,,,,,,,,,,,,,,
41,07/10/23 11:55:00,1,28.411,76.130,23.827,1.3,2.0,220,0.0,,,,,,,,,,,,,,
42,07/10/23 12:00:00,1,28.432,76.378,23.902,1.0,2.3,213,0.0,,,,,,,,,,,,,,
43,07/10/23 12:05:00,1,28.432,76.483,23.925,1.0,2.0,213,0.0,,,,,,,,,,,,,,
44,07/10/23 12:10:00,1,28.368,76.777,23.926,1.0,2.0,215,0.0,,,,,,,,,,,,,,
45,07/10/23 12:15:00,1,28.432,76.817,23.997,0.3,1.0,166,0.0,,,,,,,,,,,,,,
46,07/10/23 12:20:00,1,28.389,76.693,23.929,0.7,1.3,201,0.0,,,,,,,,,,,,,,
47,07/10/23 12:25:00,1,28.346,77.102,23.976,0.3,1.3,258,0.0,,,,,,,,,,,,,,
48,07/10/23 12:30:00,1,28.325,77.545,24.051,0.3,1.3,284,0.0,,,,,,,,,,,,,,
49,07/10/23 12:35:00,1,28.239,77.861,24.035,0.3,1.3,191,0.0,,,,,,,,,,,,,,
50,07/10/23 12:40:00,1,28.218,78.036,24.052,0.3,1.0,158,0.0,,,,,,,,,,,,,,
51,07/10/23 12:45:00,1,28.196,78.218,24.070,0.3,1.0,224,0.0,,,,,,,,,,,,,,
52,07/10/23 12:50:00,1,28.218,78.236,24.095,0.3,1.0,234,0.0,,,,,,,,,,,,,,
53,07/10/23 12:55:00,1,28.196,78.772,24.188,0.3,1.0,228,0.0,,,,,,,,,,,,,,
54,07/10/23 13:00:00,1,28.196,78.328,24.094,0.7,1.0,215,0.0,,,,,,,,,,,,,,
55,07/10/23 13:05:00,1,28.175,78.534,24.117,0.3,1.0,190,0.0,,,,,,,,,,,,,,
56,07/10/23 13:10:00,1,28.239,78.717,24.218,0.7,1.0,206,0.0,,,,,,,,,,,,,,
57,07/10/23 13:15:00,1,28.261,78.112,24.110,0.7,1.7,193,0.0,,,,,,,,,,,,,,
58,07/10/23 13:20:00,1,28.239,78.772,24.230,0.7,1.3,189,0.0,,,,,,,,,,,,,,
59,07/10/23 13:25:00,1,28.261,78.874,24.272,1.0,2.7,173,0.0,,,,,,,,,,,,,,
60,07/10/23 13:30:00,1,28.261,79.385,24.380,1.0,2.3,184,0.0,,,,,,,,,,,,,,
61,07/10/23 13:35:00,1,28.175,79.852,24.395,1.0,1.7,179,0.0,,,,,,,,,,,,,,
62,07/10/23 13:40:00,1,28.132,80.140,24.413,1.0,2.0,184,0.0,,,,,,,,,,,,,,
63,07/10/23 13:45:00,1,28.132,80.447,24.477,1.0,1.7,193,0.0,,,,,,,,,,,,,,
64,07/10/23 13:50:00,1,28.132,80.607,24.511,1.0,2.0,190,0.0,,,,,,,,,,,,,,
65,07/10/23 13:55:00,1,28.132,80.740,24.538,0.7,1.3,176,0.0,,,,,,,,,,,,,,
66,07/10/23 14:00:00,1,28.089,80.911,24.532,0.3,1.0,144,0.0,,,,,,,,,,,,,,
67,07/10/23 14:05:00,1,28.175,81.047,24.644,1.0,2.0,152,0.0,,,,,,,,,,,,,,
68,07/10/23 14:10:00,1,28.153,81.454,24.707,0.7,1.3,156,0.0,,,,,,,,,,,,,,
69,07/10/23 14:15:00,1,28.089,81.839,24.723,1.0,2.3,158,0.0,,,,,,,,,,,,,,
70,07/10/23 14:20:00,1,28.132,82.260,24.851,1.3,3.0,166,0.0,,,,,,,,,,,,,,
71,07/10/23 14:25:00,1,28.089,82.379,24.833,1.0,2.0,176,0.0,,,,,,,,,,,,,,
72,07/10/23 14:30:00,1,28.089,82.980,24.956,1.3,3.0,168,0.0,,,,,,,,,,,,,,
73,07/10/23 14:35:00,1,28.089,82.974,24.954,1.0,2.3,182,0.0,,,,,,,,,,,,,,
74,07/10/23 14:40:00,1,28.089,82.948,24.949,1.3,3.0,166,0.0,,,,,,,,,,,,,,
75,07/10/23 14:45:00,1,28.110,83.120,25.005,1.3,2.7,172,0.0,,,,,,,,,,,,,,
76,07/10/23 14:50:00,1,28.089,83.056,24.971,0.7,1.7,165,0.0,,,,,,,,,,,,,,
77,07/10/23 14:55:00,1,28.046,83.134,24.945,1.0,2.3,165,0.0,,,,,,,,,,,,,,
78,07/10/23 15:00:00,1,28.068,82.649,24.867,1.3,3.0,155,0.0,,,,,,,,,,,,,,
79,07/10/23 15:05:00,1,28.089,82.541,24.866,1.0,2.0,156,0.0,,,,,,,,,,,,,,
80,07/10/23 15:10:00,1,28.046,82.686,24.854,1.0,1.7,156,0.0,,,,,,,,,,,,,,
81,07/10/23 15:15:00,1,27.982,82.658,24.785,1.0,1.7,160,0.0,,,,,,,,,,,,,,
82,07/10/23 15:20:00,1,28.068,82.228,24.782,1.0,2.7,169,0.0,,,,,,,,,,,,,,
83,07/10/23 15:25:00,1,28.025,82.599,24.815,1.0,2.3,165,0.0,,,,,,,,,,,,,,
84,07/10/23 15:30:00,1,28.025,82.374,24.770,1.0,3.3,163,0.0,,,,,,,,,,,,,,
85,07/10/23 15:35:00,1,28.025,82.779,24.852,1.0,2.0,165,0.0,,,,,,,,,,,,,,
86,07/10/23 15:40:00,1,27.982,82.921,24.839,1.0,2.7,169,0.0,,,,,,,,,,,,,,
87,07/10/23 15:45:00,1,28.003,82.905,24.857,1.0,2.0,165,0.0,,,,,,,,,,,,,,
88,07/10/23 15:50:00,1,28.003,83.236,24.924,0.7,1.3,190,0.0,,,,,,,,,,,,,,
89,07/10/23 15:55:00,1,27.960,83.706,24.976,0.7,1.3,194,0.0,,,,,,,,,,,,,,
90,07/10/23 16:00:00,1,27.960,83.690,24.973,1.3,2.7,201,0.0,,,,,,,,,,,,,,
91,07/10/23 16:05:00,1,27.917,84.083,25.010,0.7,2.0,208,0.0,,,,,,,,,,,,,,
92,07/10/23 16:10:00,1,27.810,84.404,24.969,0.0,0.7,125,0.0,,,,,,,,,,,,,,
93,07/10/23 16:15:00,1,27.724,84.714,24.946,0.3,1.3,162,0.0,,,,,,,,,,,,,,
94,07/10/23 16:20:00,1,27.746,84.750,24.974,0.3,1.0,176,0.0,,,,,,,,,,,,,,
95,07/10/23 16:25:00,1,27.853,84.546,25.039,0.7,1.3,208,0.0,,,,,,,,,,,,,,
96,07/10/23 16:30:00,1,27.853,83.520,24.834,0.7,1.7,196,0.0,,,,,,,,,,,,,,
97,07/10/23 16:35:00,1,27.853,83.548,24.839,0.7,2.0,176,0.0,,,,,,,,,,,,,,
98,07/10/23 16:40:00,1,27.853,83.528,24.835,0.7,1.7,197,0.0,,,,,,,,,,,,,,
99,07/10/23 16:45:00,1,27.853,82.870,24.703,0.7,1.3,179,0.0,,,,,,,,,,,,,,
100,07/10/23 16:50:00,1,27.853,82.531,24.634,1.0,1.7,158,0.0,,,,,,,,,,,,,,
101,07/10/23 16:55:00,1,27.853,82.596,24.647,0.7,2.0,176,0.0,,,,,,,,,,,,,,
102,07/10/23 17:00:00,1,27.896,82.571,24.684,1.0,2.7,184,0.0,,,,,,,,,,,,,,
103,07/10/23 17:05:00,1,27.832,82.988,24.705,0.7,1.3,176,0.0,,,,,,,,,,,,,,
104,07/10/23 17:10:00,1,27.810,83.136,24.714,0.7,1.3,204,0.0,,,,,,,,,,,,,,
105,07/10/23 17:15:00,1,27.810,83.249,24.737,1.0,1.7,193,0.0,,,,,,,,,,,,,,
106,07/10/23 17:20:00,1,27.810,83.473,24.782,1.0,2.0,190,0.0,,,,,,,,,,,,,,
107,07/10/23 17:25:00,1,27.810,83.638,24.815,0.7,1.0,227,0.0,,,,,,,,,,,,,,
108,07/10/23 17:30:00,1,27.767,84.173,24.881,0.3,1.0,300,0.0,,,,,,,,,,,,,,
109,07/10/23 17:35:00,1,27.703,83.519,24.687,0.7,1.7,239,0.0,,,,,,,,,,,,,,
110,07/10/23 17:40:00,1,27.081,83.062,23.986,1.3,3.3,232,0.0,,,,,,,,,,,,,,
111,07/10/23 17:45:00,1,26.888,82.800,23.745,0.7,2.3,213,0.0,,,,,,,,,,,,,,
112,07/10/23 17:50:00,1,26.738,82.971,23.632,0.7,2.7,222,0.0,,,,,,,,,,,,,,
113,07/10/23 17:55:00,1,26.759,81.266,23.308,0.7,1.7,256,0.0,,,,,,,,,,,,,,
114,07/10/23 18:00:00,1,26.673,79.879,22.940,1.0,3.7,256,0.0,,,,,,,,,,,,,,
115,07/10/23 18:05:00,1,26.566,80.531,22.970,1.0,3.0,251,0.0,,,,,,,,,,,,,,
116,07/10/23 18:10:00,1,26.459,80.916,22.944,1.7,3.3,237,0.0,,,,,,,,,,,,,,
117,07/10/23 18:15:00,1,26.395,82.023,23.106,1.7,3.3,213,0.0,,,,,,,,,,,,,,
118,07/10/23 18:20:00,1,26.395,82.435,23.189,1.0,2.3,201,0.0,,,,,,,,,,,,,,
119,07/10/23 18:25:00,1,26.395,82.809,23.264,0.7,1.3,169,0.0,,,,,,,,,,,,,,
120,07/10/23 18:30:00,1,26.373,84.366,23.553,1.3,2.3,165,0.0,,,,,,,,,,,,,,
121,07/10/23 18:35:00,1,26.437,84.718,23.685,1.0,2.3,199,0.0,,,,,,,,,,,,,,
122,07/10/23 18:40:00,1,26.459,84.494,23.662,0.7,1.3,170,0.0,,,,,,,,,,,,,,
123,07/10/23 18:45:00,1,26.459,84.695,23.702,0.7,1.3,190,0.0,,,,,,,,,,,,,,
124,07/10/23 18:50:00,1,26.480,84.622,23.708,0.3,1.0,197,0.0,,,,,,,,,,,,,,
125,07/10/23 18:55:00,1,26.480,84.727,23.729,0.3,1.0,213,0.0,,,,,,,,,,,,,,
126,07/10/23 19:00:00,1,26.437,85.383,23.815,0.3,1.0,187,0.0,,,,,,,,,,,,,,
127,07/10/23 19:05:00,1,26.437,85.098,23.760,0.3,1.3,208,0.0,,,,,,,,,,,,,,
128,07/10/23 19:10:00,1,26.437,85.484,23.835,0.3,1.0,165,0.0,,,,,,,,,,,,,,
129,07/10/23 19:15:00,1,26.459,85.583,23.875,0.3,1.0,145,0.0,,,,,,,,,,,,,,
130,07/10/23 19:20:00,1,26.395,85.565,23.809,0.0,0.7,172,0.0,,,,,,,,,,,,,,
131,07/10/23 19:25:00,1,26.437,86.184,23.971,0.3,0.7,163,0.0,,,,,,,,,,,,,,
132,07/10/23 19:30:00,1,26.502,86.157,24.029,0.3,1.0,189,0.0,,,,,,,,,,,,,,
133,07/10/23 19:35:00,1,26.523,86.166,24.052,0.3,0.7,200,0.0,,,,,,,,,,,,,,
134,07/10/23 19:40:00,1,26.588,86.270,24.135,0.3,1.0,218,0.0,,,,,,,,,,,,,,
135,07/10/23 19:45:00,1,26.631,86.148,24.154,0.3,0.7,208,0.0,,,,,,,,,,,,,,
136,07/10/23 19:50:00,1,26.631,86.348,24.192,0.3,1.0,215,0.0,,,,,,,,,,,,,,
137,07/10/23 19:55:00,1,26.588,86.281,24.137,0.3,0.7,194,0.0,,,,,,,,,,,,,,
138,07/10/23 20:00:00,1,26.588,86.522,24.184,0.3,0.7,220,0.0,,,,,,,,,,,,,,
139,07/10/23 20:05:00,1,26.588,86.331,24.147,0.0,0.7,218,0.0,,,,,,,,,,,,,,
140,07/10/23 20:10:00,1,26.566,86.906,24.237,0.3,1.0,211,0.0,,,,,,,,,,,,,,
141,07/10/23 20:15:00,1,26.545,87.196,24.271,0.3,1.0,289,0.0,,,,,,,,,,,,,,
142,07/10/23 20:20:00,1,26.395,88.330,24.340,0.3,1.0,331,0.0,,,,,,,,,,,,,,
143,07/10/23 20:25:00,1,26.309,88.771,24.338,0.3,1.0,358,0.0,,,,,,,,,,,,,,
144,07/10/23 20:30:00,1,26.266,89.026,24.344,0.0,0.7,149,0.0,,,,,,,,,,,,,,
145,07/10/23 20:35:00,1,26.223,89.393,24.371,0.3,1.0,346,0.0,,,,,,,,,,,,,,
146,07/10/23 20:40:00,1,26.309,89.110,24.402,0.7,1.3,90,0.0,,,,,,,,,,,,,,
147,07/10/23 20:45:00,1,26.459,88.930,24.516,0.7,1.3,317,0.0,,,,,,,,,,,,,,
148,07/10/23 20:50:00,1,26.545,88.508,24.521,0.7,1.7,318,0.0,,,,,,,,,,,,,,
149,07/10/23 20:55:00,1,26.566,88.426,24.527,0.3,1.3,345,0.0,,,,,,,,,,,,,,
150,07/10/23 21:00:00,1,26.523,88.455,24.490,0.7,2.0,336,0.0,,,,,,,,,,,,,,
151,07/10/23 21:05:00,1,26.631,88.034,24.516,1.0,2.0,303,0.0,,,,,,,,,,,,,,
152,07/10/23 21:10:00,1,26.609,88.280,24.541,0.7,1.7,346,0.0,,,,,,,,,,,,,,
153,07/10/23 21:15:00,1,26.523,88.884,24.571,1.0,3.0,359,0.0,,,,,,,,,,,,,,
154,07/10/23 21:20:00,1,26.480,87.288,24.226,1.3,6.7,289,0.0,,,,,,,,,,,,,,
155,07/10/23 21:25:00,1,26.287,88.261,24.221,1.7,7.0,293,0.0,,,,,,,,,,,,,,
156,07/10/23 21:30:00,1,26.180,88.437,24.148,1.0,3.0,259,0.0,,,,,,,,,,,,,,
157,07/10/23 21:35:00,1,25.880,90.286,24.198,1.3,5.3,275,0.0,,,,,,,,,,,,,,
158,07/10/23 21:40:00,1,25.644,91.786,24.239,1.3,4.0,280,0.0,,,,,,,,,,,,,,
159,07/10/23 21:45:00,1,25.365,93.251,24.228,1.7,4.3,260,0.0,,,,,,,,,,,,,,
160,07/10/23 21:50:00,1,25.279,94.002,24.276,1.3,3.3,275,0.0,,,,,,,,,,,,,,
161,07/10/23 21:55:00,1,25.258,94.310,24.310,1.0,2.7,227,0.2,,,,,,,,,,,,,,
162,07/10/23 22:00:00,1,25.236,94.401,24.305,1.3,3.3,273,0.8,,,,,,,,,,,,,,
163,07/10/23 22:05:00,1,25.172,95.290,24.397,2.0,5.0,275,2.2,,,,,,,,,,,,,,
164,07/10/23 22:10:00,1,25.151,95.756,24.458,0.7,2.7,234,2.2,,,,,,,,,,,,,,
165,07/10/23 22:15:00,1,25.151,95.544,24.421,1.3,2.7,262,0.8,,,,,,,,,,,,,,
166,07/10/23 22:20:00,1,25.086,94.827,24.231,0.7,2.3,253,0.2,,,,,,,,,,,,,,
167,07/10/23 22:25:00,1,25.151,94.318,24.205,1.0,2.3,249,0.0,,,,,,,,,,,,,,
168,07/10/23 22:30:00,1,25.194,93.690,24.136,1.0,3.3,262,0.0,,,,,,,,,,,,,,
169,07/10/23 22:35:00,1,25.301,93.310,24.174,1.0,2.3,277,0.0,,,,,,,,,,,,,,
170,07/10/23 22:40:00,1,25.322,93.440,24.219,1.0,2.3,258,0.0,,,,,,,,,,,,,,
171,07/10/23 22:45:00,1,25.344,93.333,24.221,1.0,2.0,252,0.0,,,,,,,,,,,,,,
172,07/10/23 22:50:00,1,25.365,93.385,24.252,0.7,3.0,234,0.0,,,,,,,,,,,,,,
173,07/10/23 22:55:00,1,25.365,93.220,24.222,0.7,2.3,263,0.0,,,,,,,,,,,,,,
174,07/10/23 23:00:00,1,25.408,92.818,24.192,1.0,2.3,272,0.0,,,,,,,,,,,,,,
175,07/10/23 23:05:00,2,25.451,92.634,24.202,1.0,2.7,265,0.0,,,,,,,,,,,,,,
176,07/10/23 23:10:00,4,25.429,93.095,24.264,0.7,2.0,263,0.0,,,,,,,,,,,,,,
177,07/10/23 23:15:00,9,25.472,92.676,24.231,1.0,3.3,291,0.0,,,,,,,,,,,,,,
178,07/10/23 23:20:00,12,25.494,92.035,24.136,1.3,5.0,336,0.0,,,,,,,,,,,,,,
179,07/10/23 23:25:00,14,25.515,91.850,24.124,2.0,4.7,318,0.0,,,,,,,,,,,,,,
180,07/10/23 23:30:00,14,25.515,91.745,24.104,1.0,2.3,311,0.0,,,,,,,,,,,,,,
181,07/10/23 23:35:00,18,25.494,91.980,24.126,1.0,2.0,272,0.0,,,,,,,,,,,,,,
182,07/10/23 23:40:00,21,25.494,91.179,23.980,1.7,3.7,332,0.0,,,,,,,,,,,,,,
183,07/10/23 23:45:00,21,25.472,91.582,24.032,1.0,3.3,325,0.0,,,,,,,,,,,,,,
184,07/10/23 23:50:00,26,25.494,91.147,23.974,1.7,3.7,310,0.0,,,,,,,,,,,,,,
185,07/10/23 23:55:00,33,25.515,90.669,23.908,1.3,3.3,314,0.0,,,,,,,,,,,,,,
186,07/11/23 00:00:00,39,25.515,89.854,23.757,1.7,3.3,342,0.0,,,,,,,,,,,,,,
187,07/11/23 00:05:00,46,25.558,89.209,23.680,1.3,3.3,308,0.0,,,,,,,,,,,,,,
188,07/11/23 00:10:00,46,25.601,89.595,23.794,1.3,3.7,304,0.0,,,,,,,,,,,,,,
189,07/11/23 00:15:00,46,25.601,87.297,23.362,1.7,4.7,294,0.0,,,,,,,,,,,,,,
190,07/11/23 00:20:00,41,25.622,87.643,23.449,1.0,3.3,283,0.0,,,,,,,,,,,,,,
191,07/11/23 00:25:00,33,25.580,86.345,23.159,1.0,3.3,310,0.0,,,,,,,,,,,,,,
192,07/11/23 00:30:00,32,25.580,86.810,23.248,1.0,3.3,315,0.0,,,,,,,,,,,,,,
193,07/11/23 00:35:00,34,25.601,86.372,23.185,0.7,2.0,304,0.0,,,,,,,,,,,,,,
194,07/11/23 00:40:00,44,25.601,86.577,23.224,0.7,1.7,342,0.0,,,,,,,,,,,,,,
195,07/11/23 00:45:00,51,25.644,85.803,23.118,0.7,2.0,287,0.0,,,,,,,,,,,,,,
196,07/11/23 00:50:00,53,25.708,86.444,23.304,0.7,1.7,289,0.0,,,,,,,,,,,,,,
197,07/11/23 00:55:00,51,25.708,86.377,23.291,1.0,2.3,294,0.0,,,,,,,,,,,,,,
198,07/11/23 01:00:00,46,25.730,87.803,23.585,0.3,1.3,242,0.0,,,,,,,,,,,,,,
199,07/11/23 01:05:00,44,25.730,88.440,23.705,0.3,1.0,227,0.0,,,,,,,,,,,,,,
200,07/11/23 01:10:00,42,25.794,88.554,23.790,0.3,0.7,77,0.0,,,,,,,,,,,,,,
201,07/11/23 01:15:00,43,25.708,88.719,23.736,0.3,1.0,237,0.0,,,,,,,,,,,,,,
202,07/11/23 01:20:00,51,25.665,88.785,23.706,0.3,0.7,258,0.0,,,,,,,,,,,,,,
203,07/11/23 01:25:00,57,25.644,88.675,23.664,0.3,0.7,244,0.0,,,,,,,,,,,,,,
204,07/11/23 01:30:00,64,25.687,88.789,23.728,0.3,0.7,211,0.0,,,,,,,,,,,,,,
205,07/11/23 01:35:00,74,25.730,88.449,23.707,0.3,0.7,234,0.0,,,,,,,,,,,,,,
206,07/11/23 01:40:00,87,25.730,88.016,23.625,0.7,1.7,183,0.0,,,,,,,,,,,,,,
207,07/11/23 01:45:00,97,25.751,87.599,23.567,0.7,1.7,189,0.0,,,,,,,,,,,,,,
208,07/11/23 01:50:00,106,25.816,87.053,23.526,0.7,1.3,187,0.0,,,,,,,,,,,,,,
209,07/11/23 01:55:00,119,25.901,86.743,23.551,0.7,1.3,191,0.0,,,,,,,,,,,,,,
210,07/11/23 02:00:00,132,25.987,86.654,23.619,0.7,1.3,149,0.0,,,,,,,,,,,,,,
211,07/11/23 02:05:00,124,26.009,86.033,23.520,1.0,2.3,168,0.0,,,,,,,,,,,,,,
212,07/11/23 02:10:00,133,25.987,85.525,23.401,1.0,2.0,184,0.0,,,,,,,,,,,,,,
213,07/11/23 02:15:00,157,26.009,85.991,23.512,1.0,2.0,191,0.0,,,,,,,,,,,,,,
214,07/11/23 02:20:00,126,25.987,86.577,23.604,1.3,2.0,175,0.0,,,,,,,,,,,,,,
215,07/11/23 02:25:00,129,25.987,86.464,23.582,1.0,2.0,175,0.0,,,,,,,,,,,,,,
216,07/11/23 02:30:00,133,26.073,86.775,23.726,0.7,2.0,169,0.0,,,,,,,,,,,,,,
217,07/11/23 02:35:00,122,26.094,87.196,23.828,0.7,1.7,159,0.0,,,,,,,,,,,,,,
218,07/11/23 02:40:00,137,26.094,87.918,23.966,1.0,2.0,148,0.0,,,,,,,,,,,,,,
219,07/11/23 02:45:00,229,26.051,88.826,24.095,1.3,3.0,124,0.0,,,,,,,,,,,,,,
220,07/11/23 02:50:00,222,26.116,88.966,24.185,1.3,3.3,160,0.2,,,,,,,,,,,,,,
221,07/11/23 02:55:00,213,26.202,89.584,24.385,1.0,2.7,153,0.0,,,,,,,,,,,,,,
222,07/11/23 03:00:00,246,26.180,89.818,24.407,1.3,2.7,159,0.0,,,,,,,,,,,,,,
223,07/11/23 03:05:00,258,26.309,89.407,24.458,1.3,3.0,172,0.0,,,,,,,,,,,,,,
224,07/11/23 03:10:00,196,26.202,89.274,24.327,1.7,2.7,156,0.0,,,,,,,,,,,,,,
225,07/11/23 03:15:00,32,26.094,90.404,24.431,1.3,4.0,132,0.0,,,,,,,,,,,,,,
226,07/11/23 03:20:00,14,25.665,88.591,23.670,2.7,6.3,159,0.0,,,,,,,,,,,,,,
227,07/11/23 03:25:00,46,25.429,88.074,23.340,3.0,6.7,172,0.2,,,,,,,,,,,,,,
228,07/11/23 03:30:00,71,25.043,89.854,23.291,2.7,6.3,177,0.4,,,,,,,,,,,,,,
229,07/11/23 03:35:00,89,25.086,90.286,23.413,2.3,6.3,179,0.0,,,,,,,,,,,,,,
230,07/11/23 03:40:00,134,25.129,89.068,23.230,2.7,5.7,186,0.0,,,,,,,,,,,,,,
231,07/11/23 03:45:00,177,25.301,89.731,23.523,2.0,5.0,186,0.0,,,,,,,,,,,,,,
232,07/11/23 03:50:00,196,25.301,88.647,23.321,2.0,4.3,191,0.0,,,,,,,,,,,,,,
233,07/11/23 03:55:00,192,25.365,87.167,23.105,2.0,5.0,194,0.0,,,,,,,,,,,,,,
234,07/11/23 04:00:00,188,25.322,87.359,23.099,3.0,5.7,190,0.0,,,,,,,,,,,,,,
235,07/11/23 04:05:00,173,25.429,86.738,23.087,2.0,4.0,182,0.0,,,,,,,,,,,,,,
236,07/11/23 04:10:00,159,25.494,86.622,23.128,1.7,3.7,197,0.0,,,,,,,,,,,,,,
