,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
340,NV,27.47764205,75.38158,0.4,28.25,86.0,68.0,More,4.0,17.0
341,NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,No Change,11.0,18.0
342,AC,25.3814669,67.28068999999999,0.29,25.75,91.0,56.0,More,30.0,3.0
343,NV,27.16748335,71.1531128,0.09,27.35,93.0,50.71493106,More,46.0,16.0
344,NV,29.344909450000003,75.87390255,0.71,30.200000000000003,91.0,58.0,No Change,41.0,18.0
345,NV,29.0910797,75.31185500000001,0.21,29.95,92.0,56.0,More,34.0,19.0
346,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,More,58.0,16.0
347,NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,No Change,12.0,17.0
348,AC,25.198411,67.88993500000001,0.12,26.65,89.0,60.0,No Change,12.0,2.0
349,NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,More,40.0,17.0
350,AC,24.98846825,65.756475,0.29,25.55,95.0,53.0,Less,33.0,4.0
351,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,No Change,49.0,2.0
352,NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,No Change,45.0,19.0
353,AC,25.0596764,67.46126705,0.11,25.75,90.09168622,60.09168622,More,30.0,1.0
354,AC,25.2951131,72.53571295,0.12,26.0,93.0,56.52934892,No Change,36.0,3.0
355,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,No Change,18.0,18.0
356,NV,28.799171450000003,76.13997735,1.62,29.65,91.0,59.0,No Change,17.0,19.0
357,AC,27.60513115,79.99469500000001,0.38,28.25,93.0,55.0,More,34.0,3.0
358,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,More,54.0,2.0
359,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,50.0,3.0
360,NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,More,16.0,16.0
361,AC,24.7381439,64.09495,0.01,25.6,92.0,54.0,More,60.0,1.0
362,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,Less,36.0,16.0
363,AC,24.6267538,64.140635,0.36,25.25,90.0,62.0,Less,20.0,4.0
364,NV,29.7398109,71.5426121,0.31,30.4,92.0,54.0,More,55.0,17.0
365,AC,25.43798545,67.443635,0.48,25.700000000000003,91.0,55.0,More,25.0,4.0
366,AC,24.94427,68.71313,0.06,25.85,89.0,61.0,More,9.0,1.0
367,AC,24.7381439,64.09495,0.01,25.6,92.0,54.0,No Change,58.0,1.0
368,NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,Less,20.0,19.0
369,AC,25.2427835,72.64668785,0.17,25.75,93.0,55.0,No Change,33.0,2.0
370,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,No Change,27.0,1.0
371,NV,28.70394835,68.168415,0.25,29.4,93.0,48.0,No Change,43.0,17.0
372,NV,28.3461914,73.937405,0.54,29.3,92.0,55.0,No Change,59.0,19.0
373,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,No Change,49.0,1.0
374,AC,25.03749245,75.901905,0.09,25.9,91.0,58.0,More,25.0,1.0
375,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,More,51.0,16.0
376,AC,25.33085725,72.80657,0.74,25.85,91.0,58.0,No Change,43.0,4.0
377,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,No Change,46.0,18.0
378,AC,25.72425845,63.869709,0.14,25.9,91.0,57.0,More,17.0,2.0
379,AC,25.6104712,60.81998,0.15,26.05,89.0,63.0,No Change,28.0,3.0
380,AC,25.0295553,71.98438999999999,0.05,26.25,92.0,56.0,No Change,35.0,1.0
381,NV,29.401518000000003,73.42459,0.04,30.3,92.0,55.0,More,60.0,16.0
382,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,Less,35.0,18.0
383,NV,28.8507881,74.95059965,0.12,29.65,90.0,57.16706369,More,17.0,16.0
384,AC,25.8299016,73.15745,0.11,26.450000000000003,90.0,60.94619786,No Change,60.0,3.0
385,NV,29.05609705,76.14667510000001,0.05,29.9,94.0,54.0,More,37.0,16.0
386,NV,29.37174225,76.40110795,0.75,30.200000000000003,92.0,58.0,More,39.0,18.0
387,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Less,60.0,19.0
388,NV,25.36351205,69.883087,0.1,25.950000000000003,93.0,52.0,No Change,48.0,16.0
389,AC,24.400237,72.452845,0.18,25.4,87.0,66.94115996,More,22.0,1.0
390,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,More,45.0,16.0
391,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,Less,31.0,18.0
392,NV,29.3690672,74.16417,0.4,30.0,92.0,55.45385725,No Change,35.0,19.0
393,AC,25.42730805,72.64931200000001,0.28,26.0,90.0,62.0,Less,27.0,4.0
394,AC,25.269263950000003,70.51651765,0.1,26.4,83.0,73.0,More,6.0,1.0
395,AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,No Change,11.0,2.0
396,AC,24.7381439,64.09495,0.01,25.6,92.0,54.0,No Change,57.0,1.0
397,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,Less,19.0,18.0
398,AC,25.88930225,68.0987621,0.47,26.5,89.0,54.14254275,No Change,49.0,3.0
399,NV,29.8205519,76.342365,0.11,30.5,93.0,56.0,More,38.0,16.0
400,NV,28.20944595,78.10144500000001,0.08,29.15,91.0,58.0,More,22.0,17.0
401,AC,24.0906477,64.61978239999999,0.1,24.85,89.0,64.0,No Change,46.0,2.0
402,AC,26.4143038,63.468410000000006,0.73,27.05,91.0,55.0,No Change,16.0,4.0
403,NV,29.0374832,75.75785,0.51,29.85,90.0,58.40393321,No Change,38.0,19.0
404,AC,25.0463774,67.89810499999999,0.06,25.75,90.0,60.0,More,29.0,1.0
405,NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,More,14.0,16.0
406,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,No Change,24.0,18.0
407,AC,25.1756868,69.494475,0.15,26.3,89.0,61.0,No Change,10.0,2.0
408,NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,No Change,43.0,19.0
409,NV,28.4141456,79.98768,0.05,29.5,89.0,64.0,No Change,11.0,16.0
410,AC,25.66527555,75.88525,0.09,27.2,83.0,73.0,More,1.0,2.0
411,AC,25.06855485,71.67338215000001,0.11,26.3,92.0,56.0,More,32.0,1.0
412,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,No Change,50.0,17.0
413,AC,25.7223743,67.601495,0.44,26.1,90.0,55.14502996,No Change,17.0,4.0
414,NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,No Change,58.0,18.0
415,NV,27.70735,77.43589205,1.12,28.55,87.0,66.0,Less,2.0,19.0
416,AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,More,16.0,2.0
417,AC,25.89784765,78.6051322,0.68,26.9,90.0,61.0,No Change,30.0,4.0
418,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,No Change,53.0,16.0
419,AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,No Change,43.0,1.0
420,NV,25.8066244,70.19372,0.26,26.3,91.0,55.0,No Change,29.0,18.0
421,AC,24.00280475,65.52833275,0.09,25.5,90.0,63.0,No Change,41.0,1.0
422,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,Less,52.0,1.0
