Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability
AC,20.9,41.0,0.14,21.148783333333345,12.96,84.235,Acceptable
AC,21.3,39.0,0.19,21.537666666666663,12.96,84.235,Acceptable
AC,21.1,39.0,0.15,21.060083333333328,12.96,84.235,Unacceptable
AC,21.1,39.0,0.15,21.060083333333328,12.96,84.235,Acceptable
AC,21.1,39.0,0.15,21.060083333333328,12.96,84.235,Acceptable
AC,21.1,39.0,0.2,21.0784333334,12.96,84.235,Acceptable
AC,21.1,39.0,0.2,21.0784333334,12.96,84.235,Acceptable
AC,21.1,39.0,0.11,21.068516666666646,12.96,84.235,Unacceptable
AC,21.1,39.0,0.11,21.068516666666646,12.96,84.235,Unacceptable
AC,21.3,36.0,0.14,21.292516666666675,12.96,84.235,Acceptable
AC,20.9,41.0,0.14,21.148783333333345,12.96,84.235,Acceptable
AC,21.3,36.0,0.14,21.292516666666675,12.96,84.235,Unacceptable
AC,21.3,36.0,0.14,21.292516666666675,12.96,84.235,Unacceptable
AC,22.6,34.0,0.19,22.97204166650002,12.96,84.235,Acceptable
AC,22.6,34.0,0.19,22.97204166650002,12.96,84.235,Acceptable
AC,23.2,32.0,0.39,23.111383333266666,12.96,84.235,Acceptable
AC,23.2,32.0,0.39,23.111383333266666,12.96,84.235,Acceptable
AC,23.2,32.0,0.39,23.111383333266666,12.96,84.235,Acceptable
AC,23.3,32.0,0.29,23.456238333200016,12.96,84.235,Acceptable
AC,23.3,32.0,0.29,23.456238333200016,12.96,84.235,Unacceptable
AC,23.1,33.0,0.08,23.135441666533325,12.96,84.235,Acceptable
AC,20.9,41.0,0.14,21.148783333333345,12.96,84.235,Acceptable
AC,23.1,33.0,0.08,23.135441666533325,12.96,84.235,Acceptable
AC,22.4,32.0,0.19,22.641158333299998,12.96,84.235,Acceptable
AC,21.8,33.0,0.14,22.09043333346666,12.96,84.235,Acceptable
AC,21.8,33.0,0.14,22.09043333346666,12.96,84.235,Unacceptable
AC,21.8,33.0,0.14,22.09043333346666,12.96,84.235,Acceptable
AC,21.2,34.0,0.17,21.294241666666657,12.96,84.235,Acceptable
AC,21.1,39.0,0.13,21.099016666666657,12.96,84.235,Acceptable
AC,21.1,39.0,0.13,21.099016666666657,12.96,84.235,Acceptable
AC,21.1,39.0,0.13,21.099016666666657,12.96,84.235,Acceptable
AC,20.8,40.0,0.14,20.726966666666677,12.96,84.235,Acceptable
AC,21.9,33.0,0.16,22.159833333433326,12.96,84.235,Unacceptable
AC,20.8,34.0,0.14,20.761566666666678,12.96,84.235,Acceptable
AC,22.6,41.0,0.15,23.012391666400003,12.96,84.235,Acceptable
AC,22.7,41.0,0.13,22.732524999999995,12.96,84.235,Unacceptable
AC,22.7,41.0,0.18,22.740391666666664,12.96,84.235,Acceptable
AC,22.7,41.0,0.2,22.740391666666664,12.96,84.235,Acceptable
AC,22.7,41.0,0.2,22.740391666666664,12.96,84.235,Unacceptable
AC,22.6,40.0,0.18,22.941849999733346,12.96,84.235,Acceptable
AC,22.6,40.0,0.18,22.941849999733346,12.96,84.235,Unacceptable
AC,20.9,42.0,0.14,21.14445000000001,12.96,84.235,Unacceptable
AC,22.6,41.0,0.21,23.01258333303334,12.96,84.235,Unacceptable
AC,22.6,41.0,0.21,23.01258333303334,12.96,84.235,Unacceptable
AC,22.7,40.0,0.16,22.843825000000002,12.96,84.235,Acceptable
AC,22.7,40.0,0.16,22.843825000000002,12.96,84.235,Acceptable
AC,22.1,41.0,0.19,22.11889166673333,12.96,84.235,Acceptable
AC,21.6,43.0,0.17,22.18509166666665,12.96,84.235,Unacceptable
AC,21.8,43.0,0.12,21.868133333666666,12.96,84.235,Unacceptable
AC,21.8,43.0,0.12,21.868133333666666,12.96,84.235,Acceptable
AC,21.8,43.0,0.12,21.868133333666666,12.96,84.235,Acceptable
AC,21.7,44.0,0.16,21.929300000066664,12.96,84.235,Acceptable
AC,20.9,42.0,0.14,21.14445000000001,12.96,84.235,Acceptable
AC,21.5,44.0,0.13,21.768308333266663,12.96,84.235,Unacceptable
AC,21.5,44.0,0.13,21.768308333266663,12.96,84.235,Unacceptable
AC,21.9,43.0,0.16,22.07131700026667,12.96,84.235,Unacceptable
AC,21.9,43.0,0.16,22.07131700026667,12.96,84.235,Unacceptable
AC,22.3,42.0,0.17,21.97890833333332,12.96,84.235,Acceptable
AC,22.3,42.0,0.17,21.97890833333332,12.96,84.235,Unacceptable
AC,22.3,42.0,0.17,21.97890833333332,12.96,84.235,Acceptable
AC,22.3,42.0,0.17,21.97890833333332,12.96,84.235,Unacceptable
AC,22.3,42.0,0.17,21.97890833333332,12.96,84.235,Acceptable
AC,22.2,41.0,0.16,22.080466666666663,12.96,84.235,Acceptable
AC,20.9,42.0,0.14,21.14445000000001,12.96,84.235,Unacceptable
AC,22.2,41.0,0.16,22.080466666666663,12.96,84.235,Acceptable
AC,22.0,42.0,0.16,21.8423,12.96,84.235,Unacceptable
AC,22.4,40.0,0.18,22.54439166666665,12.96,84.235,Acceptable
AC,22.4,40.0,0.18,22.54439166666665,12.96,84.235,Acceptable
AC,22.4,40.0,0.18,22.54439166666665,12.96,84.235,Unacceptable
AC,22.4,40.0,0.18,22.54439166666665,12.96,84.235,Acceptable
AC,22.4,40.0,0.18,22.54439166666665,12.96,84.235,Acceptable
