Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
NV,28.1517763,74.60062260000001,0.27,29.1,90.0,58.0,Unacceptable,25.0,17.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Acceptable,50.0,2.0
NV,27.3503275,76.503075,0.72,28.25,87.0,62.0,Acceptable,50.0,18.0
AC,23.8697424,65.0686214,0.04,25.25,90.0,62.0,Acceptable,41.0,1.0
NV,29.53199105,76.24749215,0.03,30.3,94.0,55.41261049,Unacceptable,41.0,16.0
NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,Acceptable,32.0,19.0
AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,Acceptable,32.0,2.0
AC,25.3297205,73.522685,0.5,25.85,91.0,58.0,Acceptable,48.0,4.0
NV,27.2434775,70.88613,0.08,27.450000000000003,93.0,50.0,Unacceptable,48.0,16.0
NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,Acceptable,1.0,17.0
AC,25.24077895,71.06231,0.07,26.4,83.0,73.0,Acceptable,1.0,1.0
AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,Acceptable,20.0,1.0
NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,Unacceptable,20.0,18.0
AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,Acceptable,2.0,4.0
NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,Acceptable,2.0,17.0
AC,25.6877172,67.0559,0.12,26.0,90.0,63.0,Acceptable,46.0,3.0
NV,28.63204125,66.743405,0.83,29.35,93.72225186,47.0,Acceptable,46.0,18.0
AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,Unacceptable,5.0,2.0
NV,27.4778919,75.31259,0.34,28.25,86.0,68.0,Unacceptable,5.0,17.0
NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Acceptable,58.0,18.0
AC,25.75917055,75.22926000000001,0.25,26.6,90.0,61.05437018,Acceptable,58.0,2.0
AC,25.89784765,78.6051322,0.68,26.9,90.0,61.0,Acceptable,29.0,4.0
NV,28.3676427,74.870995,0.14,29.2,91.0,58.0,Unacceptable,29.0,17.0
AC,25.75917055,75.22926000000001,0.25,26.6,90.0,61.05437018,Acceptable,60.0,2.0
NV,29.7720623,71.7059,0.13,30.35,92.0,55.0,Acceptable,60.0,17.0
AC,26.02596,67.20779,0.56,26.450000000000003,90.0,60.0,Acceptable,37.0,4.0
NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Acceptable,37.0,18.0
NV,27.73088355,78.3376924,0.26,28.55,87.0,66.0,Acceptable,6.0,19.0
AC,25.81166355,72.13758,0.04,26.950000000000003,83.0,73.0,Acceptable,6.0,2.0
NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Unacceptable,19.0,16.0
AC,24.1494112,62.0941849,0.12,24.9,89.0,62.0,Acceptable,19.0,2.0
AC,25.066245,64.676905,0.72,25.35,89.0,61.0,Unacceptable,10.0,4.0
NV,27.55629415,80.609325,0.77,28.700000000000003,87.29273694,63.29273694,Unacceptable,10.0,18.0
AC,26.2560186,65.42827985,0.09,27.75,89.0,53.0,Acceptable,49.0,1.0
NV,27.28127195,75.60906,0.44,28.1,87.0,61.0,Acceptable,49.0,18.0
NV,27.7368829,78.39648,1.19,28.6,87.0,65.0,Acceptable,4.0,19.0
AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,Acceptable,4.0,2.0
NV,29.2580948,74.241235,0.03,30.0,90.0,59.0,Unacceptable,14.0,16.0
AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,Acceptable,14.0,4.0
NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Acceptable,45.0,17.0
AC,24.2790775,68.2382672,0.13,25.3,89.0,64.0,Acceptable,45.0,1.0
AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,Acceptable,23.0,1.0
NV,27.5875864,79.860165,0.23,28.7,91.0,59.0,Unacceptable,23.0,17.0
AC,25.05597705,75.97229,0.08,25.9,91.0,58.0,Acceptable,26.0,1.0
NV,26.939456,77.06971,0.83,27.95,90.0,58.0,Acceptable,26.0,18.0
AC,25.4269428,61.8769284,0.08,25.8,91.0,56.0,Acceptable,15.0,2.0
NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,Acceptable,15.0,19.0
