,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
216,NV,27.30010605,75.838305,0.75,28.15,87.0,61.0,Acceptable,50.0,18.0
217,AC,25.692997,72.00558000000001,0.12,26.6,83.0,73.0,Acceptable,3.0,2.0
218,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,Acceptable,31.0,18.0
219,NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Acceptable,46.0,17.0
220,NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Unacceptable,42.0,16.0
221,NV,29.79211235,71.031425,0.8,30.45,92.0,54.0,Unacceptable,59.0,18.0
222,AC,24.37159185,63.2592831,0.11,24.8,89.0,62.0,Acceptable,20.0,2.0
223,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,Acceptable,19.0,18.0
224,AC,25.42730805,72.64931200000001,0.28,26.0,90.0,62.0,Acceptable,27.0,4.0
225,AC,24.7529402,72.22156905,0.08,26.0,93.0,52.71227611,Acceptable,45.0,2.0
226,NV,27.8754944,78.7121529,1.0,28.8,88.0,65.0,Acceptable,4.0,18.0
227,AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Unacceptable,48.0,4.0
228,NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Unacceptable,41.0,18.0
229,NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,Acceptable,53.0,19.0
230,NV,29.81506415,70.893145,0.27,30.5,92.0,53.98572117,Acceptable,55.0,17.0
231,NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,Acceptable,60.0,17.0
232,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Unacceptable,10.0,16.0
233,NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,Acceptable,56.0,18.0
234,AC,25.4883105,73.39035000000001,0.21,25.85,88.0,61.6148999,Acceptable,37.0,3.0
235,AC,26.01383785,75.09908,1.04,26.35,87.94166808,64.0,Acceptable,60.0,4.0
236,AC,24.8630124,66.83332275000001,0.14,26.3,90.0,61.0,Acceptable,39.0,2.0
237,NV,27.18658355,74.37285785,0.08,28.0,83.0,72.59119921,Unacceptable,4.0,16.0
238,AC,26.0074838,73.20605499999999,0.9,26.75,91.0,57.0,Acceptable,59.0,4.0
239,NV,27.73088355,78.3376924,0.26,28.55,87.0,66.0,Acceptable,6.0,19.0
240,NV,27.5875864,79.860165,0.23,28.7,91.0,59.0,Unacceptable,23.0,17.0
241,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,Acceptable,33.0,3.0
242,NV,28.47183115,66.45309,0.88,29.25,93.0,46.0,Acceptable,43.0,18.0
243,AC,25.4045832,75.05785499999999,0.12,26.5,89.60338924,61.0,Acceptable,37.0,2.0
244,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Acceptable,12.0,17.0
245,AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,Acceptable,34.0,2.0
246,NV,28.8006992,74.818985,0.13,29.6,94.0,55.0,Unacceptable,38.0,17.0
247,AC,25.3183527,74.67086705,1.1,25.8,91.0,58.0,Acceptable,46.0,4.0
248,AC,25.534716600000003,76.0189478,0.07,26.55,92.0,56.0,Acceptable,33.0,2.0
249,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Acceptable,57.0,19.0
250,NV,26.70016575,73.22154795,0.04,27.6,82.0,76.0,Acceptable,2.0,16.0
251,AC,25.5681306,74.880505,0.18,26.3,90.0,59.0,Acceptable,57.0,3.0
252,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Acceptable,46.0,16.0
253,NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,Acceptable,31.0,16.0
254,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,Acceptable,28.0,1.0
255,AC,23.8697424,65.0686214,0.04,25.25,90.0,62.0,Acceptable,41.0,1.0
256,NV,29.1448517,74.22372195,0.1,29.9,90.0,59.0,Unacceptable,15.0,16.0
257,AC,24.79250525,67.83778,0.05,26.3,89.0,62.0,Unacceptable,38.0,1.0
258,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,Acceptable,35.0,16.0
259,AC,23.43789155,66.086117,0.14,24.65,89.0,65.0,Acceptable,48.0,1.0
260,AC,24.94427,68.71313,0.06,25.85,89.0,61.0,Acceptable,10.0,1.0
261,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Acceptable,42.0,18.0
262,NV,28.4141456,79.98768,0.05,29.5,89.0,64.0,Acceptable,11.0,16.0
263,NV,27.86561895,78.600585,0.4,28.8,88.0,65.0,Acceptable,5.0,18.0
264,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,Unacceptable,58.0,16.0
265,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Unacceptable,52.0,16.0
266,NV,27.30010605,75.838305,0.75,28.15,87.0,61.0,Acceptable,54.0,18.0
267,NV,28.3574657,78.53474715,0.03,29.35,91.0,58.0,Unacceptable,31.0,17.0
268,NV,28.2155199,79.12161499999999,0.87,29.15,91.0,59.0,Acceptable,24.0,19.0
269,NV,28.21619415,79.23662235,1.0,29.15,91.0,59.0,Acceptable,22.0,19.0
270,AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,Acceptable,4.0,2.0
271,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,Acceptable,26.0,19.0
272,AC,25.5196123,75.53583725,0.87,26.0,89.0,59.0,Acceptable,39.0,4.0
273,AC,25.32947065,67.46198695000001,0.3,25.75,91.0,56.09573812,Acceptable,28.0,3.0
274,NV,27.7288837,78.27056,0.43,28.55,87.0,66.0,Acceptable,1.0,19.0
275,NV,27.2434775,70.88613,0.08,27.450000000000003,93.0,50.0,Unacceptable,48.0,16.0
276,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Acceptable,18.0,18.0
277,AC,25.4722252,69.419885,0.55,26.15,87.0,65.0,Acceptable,22.0,4.0
278,NV,29.3690672,74.16417,0.4,30.0,92.0,55.45385725,Acceptable,35.0,19.0
279,NV,28.523658750000003,77.92713805,0.02,29.65,91.0,58.0,Unacceptable,34.0,17.0
280,NV,26.98065565,77.210965,0.34,27.95,90.0,58.0,Unacceptable,30.0,18.0
281,AC,25.1409359,72.33161,0.05,26.450000000000003,92.0,56.0,Acceptable,32.0,2.0
282,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Acceptable,55.0,19.0
283,AC,25.1351478,64.30150735,0.33,25.700000000000003,89.92382406,60.07617594,Acceptable,26.0,3.0
284,NV,28.9411497,75.699615,0.7,29.65,89.3286939,58.83565305,Acceptable,16.0,19.0
285,AC,25.52099035,67.15142700000001,0.25,25.9,90.69874187,61.0,Acceptable,43.0,3.0
286,AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,Acceptable,51.0,1.0
287,AC,25.58443,72.9034225,0.61,26.3,89.0,52.86264799,Acceptable,52.0,4.0
288,NV,27.3063831,75.91471695,0.57,28.2,87.0,61.0,Acceptable,53.0,18.0
289,NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Acceptable,53.0,17.0
290,AC,25.7595011,74.50539805,0.33,26.3,90.0,59.9479563,Acceptable,55.0,3.0
291,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Unacceptable,51.0,16.0
292,NV,26.87116625,75.69887299999999,0.45,27.85,90.0,63.0,Acceptable,36.0,18.0
293,AC,25.17936745,67.80286000000001,0.58,25.75,90.0,62.0,Acceptable,26.0,4.0
294,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,Acceptable,59.0,3.0
295,AC,24.68672655,64.7097428,0.03,25.5,87.0,64.0,Unacceptable,19.0,2.0
296,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Acceptable,18.0,17.0
297,AC,25.36683465,68.528445,0.67,25.7,91.0,60.0,Acceptable,47.0,4.0
298,NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,Unacceptable,4.0,17.0
299,NV,27.07351905,79.363115,0.36,28.1,88.0,62.0,Acceptable,7.0,19.0
300,AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,Acceptable,11.0,4.0
301,AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,Acceptable,29.0,3.0
302,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,Acceptable,25.0,19.0
303,AC,25.1209661,67.08568955,0.17,26.05,89.0,61.71166203,Acceptable,9.0,4.0
304,NV,29.32160185,75.236575,0.71,30.1,91.0,59.0,Acceptable,16.0,18.0
305,AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,Acceptable,52.0,3.0
306,AC,25.1428541,68.0492024,0.39,26.05,89.0,61.28816928,Acceptable,10.0,4.0
307,AC,25.6545267,77.72161,0.48,26.15,89.0,63.0,Acceptable,58.0,4.0
308,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,Acceptable,12.0,19.0
309,AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,Unacceptable,12.0,4.0
310,AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,Acceptable,1.0,4.0
311,NV,27.6302084,79.62815,0.25,28.75,91.0,58.95440393,Acceptable,22.0,17.0
312,AC,25.6877172,67.0559,0.12,26.0,90.0,63.0,Acceptable,46.0,3.0
313,AC,25.51999855,68.14429,0.22,26.3,90.0,60.0,Acceptable,42.0,3.0
314,NV,25.76368235,66.97658229999999,0.04,26.6,82.0,76.0,Acceptable,6.0,16.0
315,NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,Acceptable,40.0,19.0
316,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,Unacceptable,40.0,17.0
317,AC,25.0295553,71.98438999999999,0.05,26.25,92.0,56.0,Acceptable,35.0,1.0
318,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,Unacceptable,8.0,1.0
319,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,Acceptable,51.0,19.0
320,NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,Unacceptable,45.0,19.0
321,NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,Acceptable,33.0,16.0
322,NV,27.94789505,73.13666,0.38,29.05,92.0,54.0,Acceptable,58.0,19.0
323,AC,25.06855485,71.67338215000001,0.11,26.3,92.0,56.0,Acceptable,31.0,1.0
324,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,Unacceptable,51.0,2.0
325,AC,25.217021,62.9532509,0.23,26.05,83.0,73.0,Acceptable,4.0,4.0
326,NV,28.58662635,65.6599693,0.87,29.35,93.0,44.27907385,Acceptable,46.0,18.0
327,NV,27.54382515,75.882295,0.44,28.4,86.40827744,67.0,Acceptable,3.0,17.0
328,AC,24.7381439,64.09495,0.01,25.6,92.0,54.0,Acceptable,58.0,1.0
329,AC,25.56912805,74.659505,0.79,26.0,89.0,60.0,Acceptable,37.0,4.0
330,AC,25.1351478,64.30150735,0.33,25.700000000000003,89.92382406,60.07617594,Acceptable,25.0,3.0
331,NV,28.1810989,67.2262777,0.09,28.8,93.0,46.0,Acceptable,47.0,19.0
332,NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,Unacceptable,58.0,17.0
333,AC,26.07436085,60.6611691,0.09,26.95,90.0,56.0,Acceptable,18.0,2.0
334,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,Acceptable,53.0,4.0
335,NV,28.70465705,74.40958499999999,0.12,29.65,92.0,55.0,Acceptable,57.0,16.0
336,NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,Acceptable,28.0,16.0
337,AC,24.61932565,69.35017285,0.06,25.9,93.0,53.0,Acceptable,46.0,2.0
338,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Acceptable,17.0,17.0
339,AC,25.03423025,62.0025569,0.41,25.85,89.0,62.0,Acceptable,27.0,3.0
340,NV,27.4994974,80.61899,0.42,28.65,88.0,63.0,Acceptable,12.0,18.0
341,AC,25.06077385,64.436025,0.49,25.3,89.0,61.7109739,Acceptable,8.0,4.0
342,NV,28.34041365,74.849875,0.07,29.2,91.0,58.0,Unacceptable,30.0,17.0
343,AC,24.50745225,63.892345,0.03,25.6,92.0,54.03616543,Acceptable,55.0,1.0
344,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Unacceptable,5.0,16.0
345,AC,25.3101883,68.550695,0.73,25.950000000000003,88.0,63.94702991,Unacceptable,19.0,4.0
346,NV,28.35708,73.904775,1.6,29.0,90.0,57.0,Acceptable,27.0,19.0
347,AC,25.19874095,68.78459000000001,0.07,25.9,89.69555292,63.0,Acceptable,43.0,2.0
348,NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,Acceptable,23.0,19.0
349,AC,25.56161595,57.6721631,0.05,26.450000000000003,90.85234928,56.0,Acceptable,17.0,2.0
350,NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,Acceptable,39.0,19.0
351,AC,24.8937378,61.228090300000005,0.84,25.700000000000003,83.0,73.0,Unacceptable,2.0,4.0
