,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
90,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,No Change,32.0,19.0
91,AC,25.1409359,72.33161,0.05,26.450000000000003,92.0,56.0,More,32.0,2.0
92,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,More,9.0,16.0
93,NV,28.01011355,80.69563295,0.24,28.85,88.0,66.0,More,7.0,17.0
94,NV,28.35708,73.904775,1.6,29.0,90.0,57.0,No Change,26.0,19.0
95,AC,24.60210785,71.29817785,0.03,25.35,87.0,65.0,More,24.0,1.0
96,NV,28.21619415,79.23662235,1.0,29.15,91.0,59.0,Less,20.0,19.0
97,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,36.0,18.0
98,NV,27.70735,77.43589205,1.12,28.55,87.0,66.0,Less,3.0,19.0
99,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,No Change,31.0,3.0
100,AC,26.1032356,70.59358,0.6,26.35,90.0,55.0,No Change,14.0,4.0
101,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,Less,19.0,18.0
102,AC,25.3058491,76.48246,0.42,25.85,91.0,60.0,Less,45.0,4.0
103,AC,24.69094945,64.04914875,0.03,25.700000000000003,92.0,54.03383261,More,56.0,1.0
104,AC,25.3613911,73.6850823,0.1,26.35,92.0,55.0,More,29.0,2.0
105,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,49.0,4.0
106,AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,No Change,11.0,2.0
107,AC,25.44734,67.6346027,1.04,25.85,91.0,60.0,Less,46.0,4.0
108,NV,28.741795,68.9538,0.52,29.6,93.0,49.0,No Change,43.0,17.0
109,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,No Change,27.0,1.0
110,AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,Less,12.0,4.0
111,AC,23.61478235,66.9452071,0.12,24.9,89.0,64.0,No Change,43.0,1.0
112,NV,26.98065565,77.210965,0.34,27.95,90.0,58.0,No Change,29.0,18.0
113,NV,28.2404661,80.641005,0.05,29.15,88.0,66.0,No Change,11.0,16.0
