,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
212,NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,34.0,16.0
213,AC,25.83666515,69.80744999999999,0.59,26.55,88.0,63.0,Warmer,12.0,4.0
214,AC,26.2560186,65.42827985,0.09,27.75,89.0,53.0,Cooler,53.0,1.0
215,AC,25.74301335,73.34111730000001,0.86,26.25,91.0,57.0,No Change,56.0,4.0
216,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Cooler,9.0,17.0
217,AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,Warmer,15.0,2.0
218,NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,No Change,10.0,17.0
219,AC,25.6225691,72.066778,0.08,26.5,83.0,73.0,Warmer,2.0,1.0
220,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,Warmer,59.0,3.0
221,AC,25.4869926,73.397505,0.19,25.9,88.0,61.0,Cooler,40.0,3.0
222,AC,25.6685343,70.25001710000001,0.61,26.1,91.0,56.0,No Change,25.0,4.0
223,NV,28.23171805,79.634805,0.79,29.200000000000003,90.0,60.0,No Change,23.0,19.0
224,NV,27.9660015,72.60140000000001,0.09,28.95,88.0,57.0,Cooler,51.0,17.0
225,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,60.0,19.0
226,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,No Change,50.0,1.0
227,NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,No Change,18.0,19.0
228,AC,25.26369925,74.04795,0.32,25.8,92.0,58.70673745,No Change,47.0,3.0
229,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,No Change,35.0,16.0
230,NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Cooler,59.0,18.0
231,AC,24.733455,69.976585,0.15,26.4,90.0,60.0,Cooler,42.0,2.0
232,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,54.0,3.0
233,NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,48.0,17.0
234,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,54.0,4.0
235,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,40.0,18.0
236,NV,29.7756462,71.74289305,0.13,30.4,92.0,55.0,Cooler,58.0,17.0
237,AC,24.9448845,69.454532,0.12,25.700000000000003,91.0,60.0,No Change,27.0,1.0
238,NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,No Change,56.0,19.0
239,AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,Cooler,41.0,3.0
240,AC,25.12966155,67.89088000000001,0.35,25.65,95.0,53.0,No Change,31.0,4.0
241,AC,26.6239548,74.85732,0.26,27.15,93.0,54.45409424,No Change,34.0,3.0
242,NV,25.54950615,70.42307,0.03,25.950000000000003,93.0,52.0,Warmer,47.0,16.0
243,AC,24.6634434,69.0450629,0.11,25.7,91.0,56.0,No Change,32.0,1.0
244,AC,25.6408987,66.22472214999999,0.03,26.35,90.0,61.0,No Change,28.0,2.0
245,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,No Change,18.0,18.0
246,NV,29.53199105,76.24749215,0.03,30.3,94.0,55.41261049,Cooler,40.0,16.0
247,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,53.0,3.0
248,NV,27.2297106,80.2595253,0.63,28.35,88.0,62.0,No Change,12.0,19.0
