,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
17,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,No Change,37.0,18.0
18,AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,No Change,1.0,4.0
19,NV,28.91536045,77.2558899,0.07,29.65,90.0,62.0,Cooler,24.0,16.0
20,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,Cooler,25.0,1.0
21,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,No Change,57.0,3.0
22,NV,25.6596031,69.50813725,0.38,26.1,91.0,54.89796923,No Change,25.0,18.0
23,AC,24.69044305,69.27887,0.04,25.7,91.0,56.47476051,No Change,31.0,1.0
24,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,49.0,16.0
25,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Cooler,48.0,16.0
26,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Cooler,15.0,17.0
27,AC,24.61347865,57.8233537,0.03,25.6,83.0,73.0,No Change,6.0,2.0
28,AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,46.0,4.0
29,AC,25.06077385,64.436025,0.49,25.3,89.0,61.7109739,Cooler,8.0,4.0
30,NV,28.10838415,67.471385,0.37,28.7,93.0,46.0,Cooler,45.0,19.0
31,AC,24.87101935,68.94964,0.2,26.0,83.0,73.0,Cooler,6.0,1.0
32,AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,Cooler,46.0,1.0
33,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,No Change,16.0,18.0
34,NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,31.0,16.0
35,AC,25.706242,67.161445,0.1,26.15,91.0,57.0,No Change,16.0,1.0
36,AC,25.7223743,67.601495,0.44,26.1,90.0,55.14502996,No Change,17.0,4.0
37,NV,28.35708,73.904775,1.6,29.0,90.0,57.0,Cooler,30.0,19.0
38,NV,27.82118325,78.55417,0.65,28.8,88.0,65.0,Cooler,6.0,18.0
39,AC,25.0625372,69.8457,0.06,26.15,89.0,62.0,Cooler,40.0,2.0
40,AC,25.43371865,73.53509745,0.15,26.35,92.0,55.0,Cooler,27.0,2.0
41,NV,25.6596031,69.50813725,0.38,26.1,91.0,54.89796923,No Change,27.0,18.0
42,AC,25.8211603,74.097715,0.14,26.6,90.0,61.94612936,Cooler,56.0,2.0
43,NV,29.1541548,75.44713999999999,0.97,30.05,91.0,58.0,No Change,38.0,19.0
44,AC,25.52099035,67.15142700000001,0.25,25.9,90.69874187,61.0,No Change,45.0,3.0
45,AC,25.824812,64.92693804999999,0.05,26.9,89.0,57.0,Cooler,53.0,2.0
46,AC,24.0617094,65.2737846,0.17,25.2,87.0,66.0,Cooler,19.0,2.0
47,AC,25.24030155,67.368,0.56,25.65,91.0,54.0,Warmer,30.0,4.0
48,NV,28.58662635,65.6599693,0.87,29.35,93.0,44.27907385,Cooler,46.0,18.0
49,NV,29.80188655,70.9149377,0.77,30.45,92.0,54.0,Cooler,56.0,18.0
50,AC,25.5200795,61.2473545,0.08,25.75,91.0,56.0,No Change,16.0,2.0
51,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,51.0,16.0
52,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,Cooler,53.0,17.0
53,NV,29.10197295,73.975365,0.11,30.1,92.0,56.0,Cooler,59.0,16.0
54,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,No Change,2.0,18.0
55,AC,25.6632469,76.27038,0.44,26.25,90.0,58.0,No Change,60.0,3.0
56,NV,28.523658750000003,77.92713805,0.02,29.65,91.0,58.0,Cooler,34.0,17.0
57,AC,24.62115765,61.1168556,0.08,25.75,83.0,73.0,Cooler,5.0,2.0
58,AC,25.28754405,69.90267,0.34,25.85,91.0,58.0,Cooler,30.0,3.0
59,AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,48.0,4.0
60,NV,27.3503275,76.503075,0.72,28.25,87.0,62.0,No Change,50.0,18.0
61,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,No Change,33.0,3.0
62,NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,Cooler,8.0,18.0
63,AC,24.6073215,61.33249475,0.17,25.75,90.0,55.0,Warmer,52.0,1.0
64,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,No Change,54.0,2.0
65,AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,Warmer,40.0,1.0
66,AC,25.198411,67.88993500000001,0.12,26.65,89.0,60.0,No Change,11.0,2.0
67,NV,28.1482096,74.46728745,0.25,29.05,90.0,57.86501955,No Change,28.0,17.0
68,NV,27.28426425,77.54482999999999,0.08,28.1,90.0,57.89679308,Cooler,26.0,16.0
69,AC,24.69094945,64.04914875,0.03,25.700000000000003,92.0,54.03383261,Cooler,56.0,1.0
70,NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,No Change,11.0,17.0
71,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,57.0,1.0
72,NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,No Change,3.0,17.0
73,AC,24.50745225,63.892345,0.03,25.6,92.0,54.03616543,Cooler,55.0,1.0
74,AC,25.32947065,67.46198695000001,0.3,25.75,91.0,56.09573812,No Change,27.0,3.0
75,NV,28.0824013,73.87972500000001,0.78,28.85,90.0,56.0,Cooler,28.0,19.0
76,AC,27.2626438,82.0086,0.22,28.25,88.0,63.0,No Change,10.0,4.0
77,NV,28.3860197,74.00213,0.85,29.3,92.0,55.0,No Change,55.0,19.0
78,AC,25.5124197,67.26019755,0.08,26.7,89.0,61.0,Cooler,10.0,2.0
79,AC,25.16606845,67.43979,0.82,25.75,90.0,61.09088959,No Change,29.0,4.0
80,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,Cooler,58.0,16.0
81,NV,27.5495987,71.271965,0.38,28.45,92.0,55.0,No Change,59.0,19.0
82,AC,25.4045832,75.05785499999999,0.12,26.5,89.60338924,61.0,Cooler,38.0,2.0
83,AC,25.3183527,74.67086705,1.1,25.8,91.0,58.0,Warmer,45.0,4.0
84,AC,25.4883105,73.39035000000001,0.21,25.85,88.0,61.6148999,No Change,38.0,3.0
85,AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,No Change,52.0,3.0
86,AC,25.51420405,75.206395,0.17,26.05,89.0,59.0,Cooler,39.0,3.0
87,NV,26.52745625,74.61818790000001,0.28,27.55,91.0,57.0,No Change,29.0,18.0
88,AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,No Change,39.0,1.0
89,AC,25.28754405,69.90267,0.34,25.85,91.0,58.0,Cooler,25.0,3.0
90,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,No Change,19.0,18.0
91,NV,27.6698885,80.306255,0.83,28.75,88.0,63.28844468,Cooler,7.0,18.0
92,NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,29.0,19.0
93,AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,No Change,23.0,1.0
94,AC,25.4722252,69.419885,0.55,26.15,87.0,65.0,Warmer,19.0,4.0
95,AC,24.00280475,65.52833275,0.09,25.5,90.0,63.0,No Change,41.0,1.0
96,NV,28.1517763,74.60062260000001,0.27,29.1,90.0,58.0,Cooler,29.0,17.0
97,NV,27.9159422,73.092015,0.18,28.85,88.0,57.0,Cooler,49.0,17.0
98,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,No Change,17.0,1.0
99,NV,27.4256592,76.77550274999999,1.01,28.35,88.0,62.0,Cooler,52.0,19.0
100,AC,24.942033350000003,67.68392700000001,0.05,25.9,86.94512065,64.0,No Change,24.0,2.0
101,AC,25.6545267,77.72161,0.48,26.15,89.0,63.0,No Change,60.0,4.0
102,AC,25.82515905,70.769335,0.16,27.0,89.0,55.0,No Change,52.0,2.0
103,NV,27.4778919,75.31259,0.34,28.25,86.0,68.0,Cooler,6.0,17.0
104,NV,29.28249265,75.3105,0.56,30.1,91.0,58.0,Cooler,41.0,19.0
105,NV,27.60314385,76.169565,0.32,28.55,88.0,59.0,No Change,49.0,19.0
106,AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,No Change,29.0,3.0
107,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,9.0,16.0
108,AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,No Change,51.0,1.0
109,NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,Cooler,29.0,16.0
110,NV,26.797361700000003,75.466335,0.05,27.9,87.0,62.0,Cooler,50.0,16.0
111,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,59.0,1.0
112,NV,28.3574657,78.53474715,0.03,29.35,91.0,58.0,Cooler,35.0,17.0
113,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,No Change,51.0,19.0
114,AC,25.0463774,67.89810499999999,0.06,25.75,90.0,60.0,Cooler,29.0,1.0
115,NV,27.71040535,79.386945,1.23,28.65,91.0,61.0,No Change,33.0,16.0
116,AC,24.8630124,66.83332275000001,0.14,26.3,90.0,61.0,No Change,39.0,2.0
117,NV,28.47183115,66.45309,0.88,29.25,93.0,46.0,Cooler,43.0,18.0
118,NV,26.52745625,74.61818790000001,0.28,27.55,91.0,57.0,Cooler,26.0,18.0
119,NV,25.5737448,72.50533,0.27,26.6,89.0,61.94915638,No Change,24.0,18.0
120,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,No Change,48.0,18.0
121,AC,24.8117132,61.63976285,0.72,25.65,83.0,73.0,Warmer,3.0,4.0
122,NV,27.28127195,75.60906,0.44,28.1,87.0,61.0,No Change,49.0,18.0
123,NV,28.2101202,78.130925,0.37,29.15,91.0,58.0,Cooler,24.0,17.0
124,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,3.0,16.0
125,NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,Cooler,43.0,19.0
126,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Cooler,17.0,17.0
127,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,60.0,1.0
128,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,No Change,23.0,18.0
129,AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,No Change,51.0,3.0
130,NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,Warmer,36.0,16.0
131,AC,24.83875945,66.35274785,0.69,25.5,89.0,54.0,No Change,35.0,4.0
132,NV,28.84089085,76.13239215,0.03,29.9,92.0,56.0,Cooler,36.0,17.0
133,NV,28.5629034,77.64685,0.12,29.700000000000003,91.0,58.0,No Change,33.0,17.0
134,AC,24.400237,72.452845,0.18,25.4,87.0,66.94115996,No Change,24.0,1.0
135,NV,28.1517763,74.60062260000001,0.27,29.1,90.0,58.0,Cooler,25.0,17.0
136,AC,26.01383785,75.09908,1.04,26.35,87.94166808,64.0,No Change,57.0,4.0
137,NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Cooler,41.0,17.0
138,NV,28.2155199,79.12161499999999,0.87,29.15,91.0,59.0,No Change,24.0,19.0
139,NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Cooler,41.0,18.0
140,AC,25.05919145,71.16364999999999,0.21,26.05,91.0,57.0,No Change,35.0,1.0
141,AC,23.61478235,66.9452071,0.12,24.9,89.0,64.0,Cooler,43.0,1.0
142,AC,25.28062725,69.71822789999999,0.19,26.3,89.0,61.0,Cooler,7.0,1.0
143,AC,24.63644505,69.00406269999999,0.03,25.65,91.0,56.0,Cooler,34.0,1.0
144,NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Cooler,40.0,17.0
