Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,More,42.0,18.0
AC,25.5228548,81.233565,0.39,26.1,95.0,51.0,No Change,31.0,4.0
NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,No Change,31.0,19.0
AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,More,5.0,4.0
NV,27.4778919,75.31259,0.34,28.25,86.0,68.0,More,5.0,17.0
NV,28.1482096,74.46728745,0.25,29.05,90.0,57.86501955,No Change,28.0,17.0
AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,No Change,28.0,1.0
AC,24.0617094,65.2737846,0.17,25.2,87.0,66.0,More,19.0,2.0
NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,More,19.0,16.0
AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,No Change,43.0,1.0
NV,28.1956412,67.24078,0.11,28.8,93.0,46.0,No Change,43.0,19.0
AC,25.82515905,70.769335,0.16,27.0,89.0,55.0,No Change,54.0,2.0
NV,27.0173531,75.48765755,0.05,28.1,86.28493878,62.0,More,54.0,16.0
NV,25.54950615,70.42307,0.03,25.950000000000003,93.0,52.0,No Change,47.0,16.0
AC,23.4386787,66.05906999999999,0.15,24.65,89.0,65.0,No Change,47.0,1.0
AC,25.6525,66.83991499999999,0.18,26.0,90.0,63.0,No Change,48.0,3.0
NV,27.2434775,70.88613,0.08,27.450000000000003,93.0,50.0,More,48.0,16.0
AC,24.733455,69.976585,0.15,26.4,90.0,60.0,More,39.0,2.0
NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,No Change,39.0,19.0
NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,No Change,2.0,17.0
AC,24.04735375,57.53918265,0.08,25.15,83.0,73.0,No Change,2.0,2.0
AC,25.82515905,70.769335,0.16,27.0,89.0,55.0,No Change,51.0,2.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,More,51.0,16.0
NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,More,10.0,16.0
AC,27.2626438,82.0086,0.22,28.25,88.0,63.0,No Change,10.0,4.0
NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,No Change,17.0,19.0
AC,29.26356365,76.15612999999999,0.73,30.1,90.36760428,58.0,More,17.0,4.0
AC,24.7277887,69.61462,0.08,26.4,90.0,60.0,More,38.0,2.0
NV,28.411007,73.146215,0.23,29.200000000000003,94.0,55.58012383,More,38.0,17.0
AC,25.441961300000003,77.48910795,0.07,26.1,89.0,62.94420483,More,55.0,2.0
NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,No Change,55.0,18.0
NV,29.02581735,75.77595500000001,0.7,29.85,90.0,59.0,More,40.0,19.0
AC,24.81651195,66.7278222,0.1,26.3,90.0,61.0,More,40.0,2.0
NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,No Change,37.0,17.0
AC,23.86768435,65.7074075,0.15,25.25,90.0,62.0,No Change,37.0,2.0
AC,24.01170645,65.390785,0.05,25.15,87.0,66.0,More,24.0,2.0
NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,24.0,19.0
AC,25.3613911,73.6850823,0.1,26.35,92.0,55.0,More,29.0,2.0
NV,25.8066244,70.19372,0.26,26.3,91.0,55.0,No Change,29.0,18.0
NV,25.49842095,71.5555226,0.32,26.5,89.0,62.0,No Change,23.0,18.0
AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,No Change,23.0,1.0
AC,24.53322415,71.64338799999999,0.33,25.450000000000003,83.0,73.0,No Change,1.0,4.0
NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,No Change,1.0,17.0
AC,24.68672655,64.7097428,0.03,25.5,87.0,64.0,More,22.0,2.0
NV,28.899021150000003,77.11800005,0.05,29.700000000000003,90.0,62.0,More,22.0,16.0
AC,25.5681306,74.880505,0.18,26.3,90.0,59.0,More,59.0,3.0
NV,29.81506415,70.893145,0.27,30.5,92.0,53.98572117,More,59.0,17.0
AC,24.61347865,57.8233537,0.03,25.6,83.0,73.0,More,6.0,2.0
NV,27.4778919,75.31259,0.34,28.25,86.0,68.0,No Change,6.0,17.0
AC,25.1756868,69.494475,0.15,26.3,89.0,61.0,More,9.0,2.0
NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,More,9.0,16.0
