"Title Comment",""
"Model","LR8515"
"Serial No.","180345475"
"Identify Name","180345475"
"Recording Interval[s]","+6.000000000E+01"
"Trigger Time","2023/09/28 19:10:22.000"

"Channel","Input Type","Range","Scaling Settings","Scaling Conversion Ratio","Scaling Offset"
"CH1-1","Thermocouple","1000C","OFF","",""

"Time","CH1-1[C]"
"2023/09/28 20:51:22.000","+2.86000E+01"
"2023/09/28 20:52:22.000","+2.86000E+01"
"2023/09/28 20:53:22.000","+2.86000E+01"
"2023/09/28 20:54:22.000","+2.86000E+01"
"2023/09/28 20:55:22.000","+2.86000E+01"
"2023/09/28 20:56:22.000","+2.86000E+01"
"2023/09/28 20:57:22.000","+2.86000E+01"
"2023/09/28 20:58:22.000","+2.86000E+01"
"2023/09/28 20:59:22.000","+2.86000E+01"
"2023/09/28 21:00:22.000","+2.86000E+01"
"2023/09/28 21:01:22.000","+2.86000E+01"
"2023/09/28 21:02:22.000","+2.86000E+01"
"2023/09/28 21:03:22.000","+2.87000E+01"
"2023/09/28 21:04:22.000","+2.86000E+01"
"2023/09/28 21:05:22.000","+2.86000E+01"
"2023/09/28 21:06:22.000","+2.87000E+01"
"2023/09/28 21:07:22.000","+2.86000E+01"
"2023/09/28 21:08:22.000","+2.87000E+01"
"2023/09/28 21:09:22.000","+2.86000E+01"
"2023/09/28 21:10:22.000","+2.86000E+01"
"2023/09/28 21:11:22.000","+2.87000E+01"
"2023/09/28 21:12:22.000","+2.87000E+01"
"2023/09/28 21:13:22.000","+2.87000E+01"
"2023/09/28 21:14:22.000","+2.86000E+01"
"2023/09/28 21:15:22.000","+2.87000E+01"
"2023/09/28 21:16:22.000","+2.87000E+01"
"2023/09/28 21:17:22.000","+2.87000E+01"
"2023/09/28 21:18:22.000","+2.87000E+01"
"2023/09/28 21:19:22.000","+2.87000E+01"
"2023/09/28 21:20:22.000","+2.87000E+01"
"2023/09/28 21:21:22.000","+2.87000E+01"
"2023/09/28 21:22:22.000","+2.86000E+01"
